key,english,hi,te,ta,kn,ml
common.save,Save,सहेजें,సేవ్ చేయండి,சேமிக்கவும்,ಉಳಿಸಿ,സേവ് ചെയ്യുക
common.cancel,Cancel,रद्द करें,రద్దు చేయండి,ரத்து செய்யுங்கள்,ರದ್ದುಗೊಳಿಸಿ,റദ്ദാക്കുക
common.next,Next,अगला,తదుపరి,அடுத்து,ಮುಂದೆ,അടുത്തത്
common.back,Back,वापस,వెనుకకు,பின்னோக்கி,ಹಿಂತಿರುಗಿ,പിന്നോട്ട്
common.loading,Loading...,लोड किया जा रहा है...,లోడ్ అవుతోంది...,ஏற்றுதல்...,ಲೋಡ್ ಆಗುತ್ತಿದೆ...,ലോഡ് ചെയ്യുന്നു...
common.search,Search,खोजें,వెతకండి,தேடல்,ಹುಡುಕಿ,തിരയുക
common.submit,Submit,जमा करें,సమర్పించండి,சமர்ப்பிக்கவும்,ಸಲ್ಲಿಸಿ,സമർപ്പിക്കുക
common.delete,Delete,हटाएं,తొలగించండి,நீக்கு,ಅಳಿಸಿ,ഇല്ലാതാക്കുക
common.confirm,Confirm,पुष्टि करें,ధృవీకరించండి,உறுதிப்படுத்தவும்,ದೃಢೀಕರಿಸಿ,സ്ഥിരീകരിക്കുക
common.retry,Retry,पुनः प्रयास करें,తిరిగి ప్రయత్నించండి,மீண்டும் முயற்சிக்கவும்,ಮರುಪ್ರಯತ್ನೆ ಮಾಡಿ,വീണ്ടും ശ്രമിക്കുക
common.add,Add,जोड़ें,జోడించండి,சேர்க்கவும்,ಸೇರಿಸಿ,ചേർക്കുക
common.view_all,View all,सब देखें,అన్నింటిని చూడండి,அனைத்தையும் பார்க்கவும்,ಎಲ್ಲವನ್ನೂ ವೀಕ್ಷಿಸಿ,എല്ലാം കാണുക
common.or,or,या,లేదా,அல்லது,ಅಥವಾ,അല്ലെങ്കിൽ
common.edit,Edit,संपादित करें,సవరించండి,திருத்தவும்,ಸಂಪಾದಿಸಿ,എഡിറ്റ് ചെയ്യുക
common.done,Done,किया गया,పూర్తయింది,முடிந்தது,ಮುಗಿದುಹೋಯಿತು,പൂർത്തിയായി
common.close,Close,बंद करें,మూసివేయండి,மூடு,ಮುಚ್ಚಿರಿ,അടയ്ക്കുക
common.continue,Continue,जारी रखें,కొనసాగించండి,தொடருங்கள்,ಮುಂದುವರಿಸಿ,തുടരുക
common.skip,Skip,छोड़ दें,దాటవేయండి,தவிர்க்கவும்,ಸ್ಕಿಪ್ ಮಾಡಿ,ഒഴിവാക്കുക
common.yes,Yes,हाँ,అవును,ஆம்,ಹೌದು,അതെ
common.no,No,नहीं,లేదు,இல்லை,ಇಲ್ಲ,ഇല്ല
common.remaining,remaining,शेष,మిగిలింది,மீதமிருக்கும்,ಉಳಿದ,ബാക്കിയുള്ളവർ
common.expires,Expires,समाप्त हो जाता है,గడువు ముగుస్తుంది,காலாவதியாகும்,ಅವಧಿ ಮುಗಿಯುತ್ತದೆ,കാലാവധി അവസാനിക്കുന്നു
form.required,This field is required,यह क्षेत्र आवश्यक है,ఈ ఫీల్డ్ అవసరం,இந்த புலம் தேவைப்படுகிறது,ಈ ಕ್ಷೇತ್ರವು ಅಗತ್ಯವಾಗಿದೆ,ഈ ഫീൽഡ് ആവശ്യമാണ്
form.invalid_email,Enter a valid email address,एक वैध ईमेल पता दर्ज करें,చెల్లుబాటు అయ్యే ఇమెయిల్ చిరునామాను నమోదు చేయండి,செல்லுபடியாகும் மின்னஞ்சல் முகவரியை உள்ளிடவும்,ಮಾನ್ಯವಾದ ಇಮೇಲ್ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ,സാധുവായ ഒരു ഇമെയിൽ വിലാസം നൽകുക
error.generic,Something went wrong. Please try again.,कुछ गड़बड़ हो गई। कृपया फिर से कोशिश करें।,ఏదో తప్పు జరిగింది. దయచేసి మళ్ళీ ప్రయత్నించండి.,ஏதோ தவறு நடந்துவிட்டது. தயவுசெய்து மீண்டும் முயற்சிக்கவும்.,ಏನೋ ತಪ್ಪಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,എന്തോ തെറ്റ് സംഭവിച്ചു. ദയവായി വീണ്ടും ശ്രമിക്കുക.
error.network,Network error. Check your connection.,नेटवर्क त्रुटि। अपने कनेक्शन की जाँच करें।,నెట్వర్క్ లోపం. మీ కనెక్షన్ను తనిఖీ చేయండి.,நெட்வொர்க் பிழை. உங்கள் இணைப்பைச் சரிபார்க்கவும்.,ಜಾಲದ ದೋಷ. ನಿಮ್ಮ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ.,നെറ്റ്വർക്ക് പിശക്. നിങ്ങളുടെ കണക്ഷൻ പരിശോധിക്കുക.
notification.saved,Saved,सहेजा गया,సేవ్ చేయబడింది,சேமிக்கப்பட்டது,ಉಳಿಸಲಾಗಿದೆ,സംരക്ഷിച്ചു
notification.deleted,Deleted,हटा दिया गया,తొలగించబడింది,நீக்கப்பட்டது,ಅಳಿಸಲಾಗಿದೆ,ഇല്ലാതാക്കി
notification.sent,Sent,भेजा गया,పంపారు,அனுப்பப்பட்டது,ಕಳುಹಿಸಲಾಗಿದೆ,അയച്ചു
help.contact_support,Need help? Contact support.,मदद चाहिए? मदद के लिए संपर्क करें।,సహాయం కావాలా? మద్దతును సంప్రదించండి.,உதவி தேவையா? ஆதரவைத் தொடர்பு கொள்ளுங்கள்.,ಸಹಾಯ ಬೇಕೇ? ಬೆಂಬಲವನ್ನು ಸಂಪರ್ಕಿಸಿ.,സഹായം ആവശ്യമുണ്ടോ? പിന്തുണയുമായി ബന്ധപ്പെടുക.
app.tagline,Your Warranty Wallet,आपका वारंटी वॉलेट,మీ వారంటీ వాలెట్,உங்கள் உத்தரவாத பணப்பையை,ನಿಮ್ಮ ಖಾತರಿ ಕೈಚೀಲ,നിങ്ങളുടെ വാറന്റി വാലറ്റ്
